barrier,marginal_effect,se,ci_lower,ci_upper,significant
1.09,1.3638331787018643,0.8265244705208198,-0.2561547835189424,2.9838211409226707,False
1.2179591836734696,1.3085928130317634,0.7945511686056563,-0.24872747743532297,2.86591310349885,False
1.3459183673469388,1.2533524473616626,0.7638764130337554,-0.24384532218449806,2.7505502169078233,False
1.4738775510204083,1.1981120816915618,0.7346628784278053,-0.2418271600269366,2.6380513234100604,False
1.6018367346938778,1.142871716021461,0.7070916992753836,-0.24302801455829082,2.528771446601213,False
1.729795918367347,1.0876313503513604,0.6813622774429773,-0.24783871343687514,2.423101414139596,False
1.8577551020408165,1.0323909846812593,0.6576908017862355,-0.2566829868197622,2.3214649561822807,False
1.9857142857142858,0.9771506190111586,0.636306988866201,-0.27001107916659517,2.2243123171889123,False
2.1136734693877552,0.9219102533410578,0.6174485671693889,-0.2882889383109445,2.13210944499306,False
2.2416326530612247,0.8666698876709569,0.6013531722813983,-0.31198233000058373,2.0453221053424975,False
2.3695918367346938,0.8114295220008563,0.588247650416115,-0.3415358728147291,1.9643949168164416,False
2.4975510204081637,0.7561891563307552,0.5783352957593618,-0.3773480233575939,1.8897263360191043,False
2.6255102040816327,0.7009487906606546,0.5717822016431313,-0.41974432455988264,1.821641905881192,False
2.753469387755102,0.6457084249905538,0.5687045046458434,-0.46895240411529926,1.7603692540964069,False
2.8814285714285717,0.5904680593204528,0.5691585866758857,-0.5250827705642831,1.7060188892051886,False
3.0093877551020407,0.5352276936503522,0.5731360533617812,-0.5881189709387389,1.6585743582394432,False
3.1373469387755106,0.4799873279802511,0.5805644927423268,-0.6579190777947095,1.6178937337552117,False
3.2653061224489797,0.4247469623101505,0.5913138595509168,-0.7342282024096463,1.5837221270299473,False
3.3932653061224496,0.3695065966400495,0.6052072260429954,-0.8166995664042214,1.5557127596843203,False
3.5212244897959186,0.3142662309699489,0.6220339605729921,-0.9049203317531156,1.5334527936930133,False
3.6491836734693877,0.25902586529984806,0.6415632980863205,-0.99843819894934,1.5164899295490362,False
3.7771428571428576,0.203785499629747,0.663556658086167,-1.0967855502191404,1.5043565494786344,False
3.9051020408163266,0.1485451339596464,0.6877777018945695,-1.1994991617537099,1.4965894296730027,False
4.0330612244897965,0.09330476828954537,0.7139997560574374,-1.3061347535830319,1.4927442901621226,False
4.161020408163266,0.03806440261944477,0.7420107086630171,-1.4162765863600688,1.4924053915989584,False
4.288979591836735,-0.01717596305065583,0.7716157642148814,-1.5295428609118233,1.4951909348105117,False
4.4169387755102045,-0.07241632872075687,0.802638548222703,-1.6455878832372546,1.5007552257957408,False
4.544897959183674,-0.1276566943908577,0.8349210419524654,-1.7641019366176898,1.5087885478359744,False
4.6728571428571435,-0.18289706006095852,0.8683227563473976,-1.8848096625018578,1.5190155423799407,False
4.8008163265306125,-0.23813742573105934,0.9027194623914468,-2.007467572018295,1.5311927205561764,False
4.9287755102040816,-0.29337779140116016,0.9380017068554162,-2.1318611368377756,1.5451055540354555,False
5.0567346938775515,-0.348618157071261,0.9740732683124277,-2.257801762963619,1.5605654488210972,False
5.1846938775510205,-0.4038585227413618,1.0108496513882985,-2.385123839462427,1.5774067939797032,False
5.3126530612244895,-0.4590988884114622,1.0482566761421765,-2.513681973650128,1.5954841968272038,False
5.4406122448979595,-0.5143392540815634,1.0862291913474127,-2.6433484691224924,1.6146699609593655,False
5.5685714285714285,-0.5695796197516638,1.1247099221077725,-2.774011067082898,1.6348518275795705,False
5.696530612244898,-0.6248199854217651,1.163648450922314,-2.9055709492295003,1.6559309783859701,False
5.8244897959183675,-0.6800603510918659,1.203000324802092,-3.037940987703966,1.6778202855202342,False
5.9524489795918365,-0.7353007167619663,1.2427262777087262,-3.1710442210710696,1.700442787547137,False
6.080408163265306,-0.7905410824320676,1.2827915562691563,-3.304812532719614,1.7237303678554787,False
6.2083673469387755,-0.8457814481021679,1.3231653366291418,-3.439185507895286,1.7476226116909501,False
6.336326530612245,-0.9010218137722692,1.3638202209133679,-3.57410944676247,1.7720658192179317,False
6.464285714285714,-0.9562621794423696,1.4047318027229514,-3.7095365127793545,1.7970121538946153,False
6.5922448979591834,-1.0115025451124704,1.4458782922100215,-3.8454239978441125,1.8224189076191717,False
6.720204081632653,-1.0667429107825717,1.4872401923969354,-3.981733687880565,1.8482478663154218,False
6.848163265306122,-1.121983276452672,1.5288000194830544,-4.118431314639459,1.8744647617341146,False
6.976122448979592,-1.1772236421227733,1.5705420608680662,-4.255486081424183,1.9010387971786367,False
7.104081632653061,-1.2324640077928737,1.6124521655025446,-4.392870252177861,1.9279422365921137,False
7.232040816326531,-1.287704373462975,1.6545175619514563,-4.530558794887829,1.955150047961879,False
7.36,-1.3429447391330753,1.6967267002294573,-4.668529071582812,1.982639593316661,False
