channel_name,sport,year,quarter,total_views_in_quarter,subscribers_end_quarter,videos_uploaded_in_quarter,avg_views_per_video
SURFER,surfing,2019,Q2,1010729,206000,25,40429.16
SURFER,surfing,2019,Q3,3319821,206000,27,122956.33
SURFER,surfing,2019,Q4,2656072,206000,35,75887.77
SURFER,surfing,2020,Q1,899382,206000,18,49965.67
SURFER,surfing,2020,Q2,1417180,206000,31,45715.48
SURFER,surfing,2020,Q3,1470787,206000,20,73539.35
SURFER,surfing,2020,Q4,146253,206000,3,48751.0
SURFER,surfing,2021,Q1,0,206000,0,0
SURFER,surfing,2021,Q2,0,206000,0,0
SURFER,surfing,2021,Q3,0,206000,0,0
SURFER,surfing,2021,Q4,0,206000,0,0
SURFER,surfing,2022,Q1,0,206000,0,0
SURFER,surfing,2022,Q2,0,206000,0,0
SURFER,surfing,2022,Q3,0,206000,0,0
SURFER,surfing,2022,Q4,0,206000,0,0
SURFER,surfing,2023,Q1,745252,206000,12,62104.33
SURFER,surfing,2023,Q2,1717617,206000,51,33678.76
SURFER,surfing,2023,Q3,2702481,206000,18,150137.83
SURFER,surfing,2023,Q4,67801,206000,9,7533.44
SURFER,surfing,2024,Q1,66057,206000,2,33028.5
SURFER,surfing,2024,Q2,43832,206000,9,4870.22
SURFER,surfing,2024,Q3,464190,206000,36,12894.17
SURFER,surfing,2024,Q4,169370,206000,21,8065.24
Sage Canaday,trail running,2015,Q1,0,696,0,0
Sage Canaday,trail running,2015,Q2,0,696,0,0
Sage Canaday,trail running,2015,Q3,0,696,0,0
Sage Canaday,trail running,2015,Q4,0,696,0,0
Sage Canaday,trail running,2016,Q1,0,696,0,0
Sage Canaday,trail running,2016,Q2,0,696,0,0
Sage Canaday,trail running,2016,Q3,0,696,0,0
Sage Canaday,trail running,2016,Q4,0,696,0,0
Sage Canaday,trail running,2017,Q1,0,696,0,0
Sage Canaday,trail running,2017,Q2,0,696,0,0
Sage Canaday,trail running,2017,Q3,0,696,0,0
Sage Canaday,trail running,2017,Q4,0,696,0,0
Sage Canaday,trail running,2018,Q1,6223,696,8,777.88
Sage Canaday,trail running,2018,Q2,1918,696,2,959.0
Sage Canaday,trail running,2018,Q3,794,696,1,794.0
Sage Canaday,trail running,2018,Q4,0,696,0,0
Sage Canaday,trail running,2019,Q1,0,696,0,0
Sage Canaday,trail running,2019,Q2,0,696,0,0
Sage Canaday,trail running,2019,Q3,0,696,0,0
Sage Canaday,trail running,2019,Q4,247,696,1,247.0
Sage Canaday,trail running,2020,Q1,0,696,0,0
Sage Canaday,trail running,2020,Q2,0,696,0,0
Sage Canaday,trail running,2020,Q3,259,696,1,259.0
Sage Canaday,trail running,2020,Q4,867,696,2,433.5
Sage Canaday,trail running,2021,Q1,0,696,0,0
Sage Canaday,trail running,2021,Q2,166,696,1,166.0
Sage Canaday,trail running,2021,Q3,0,696,0,0
Sage Canaday,trail running,2021,Q4,0,696,0,0
Sage Canaday,trail running,2022,Q1,0,696,0,0
Sage Canaday,trail running,2022,Q2,0,696,0,0
Sage Canaday,trail running,2022,Q3,0,696,0,0
Sage Canaday,trail running,2022,Q4,8684,696,1,8684.0
Sage Canaday,trail running,2023,Q1,0,696,0,0
Sage Canaday,trail running,2023,Q2,0,696,0,0
Sage Canaday,trail running,2023,Q3,0,696,0,0
Sage Canaday,trail running,2023,Q4,0,696,0,0
Sage Canaday,trail running,2024,Q1,0,696,0,0
Sage Canaday,trail running,2024,Q2,0,696,0,0
Sage Canaday,trail running,2024,Q3,0,696,0,0
Sage Canaday,trail running,2024,Q4,0,696,0,0
Shaun White,snowboarding,2015,Q1,0,78500,0,0
Shaun White,snowboarding,2015,Q2,0,78500,0,0
Shaun White,snowboarding,2015,Q3,0,78500,0,0
Shaun White,snowboarding,2015,Q4,0,78500,0,0
Shaun White,snowboarding,2016,Q1,0,78500,0,0
Shaun White,snowboarding,2016,Q2,0,78500,0,0
Shaun White,snowboarding,2016,Q3,37886,78500,1,37886.0
Shaun White,snowboarding,2016,Q4,0,78500,0,0
Shaun White,snowboarding,2017,Q1,60061,78500,2,30030.5
Shaun White,snowboarding,2017,Q2,0,78500,0,0
Shaun White,snowboarding,2017,Q3,0,78500,0,0
Shaun White,snowboarding,2017,Q4,101416,78500,3,33805.33
Shaun White,snowboarding,2018,Q1,0,78500,0,0
Shaun White,snowboarding,2018,Q2,5133,78500,1,5133.0
Shaun White,snowboarding,2018,Q3,41899,78500,5,8379.8
Shaun White,snowboarding,2018,Q4,0,78500,0,0
Shaun White,snowboarding,2019,Q1,0,78500,0,0
Shaun White,snowboarding,2019,Q2,0,78500,0,0
Shaun White,snowboarding,2019,Q3,0,78500,0,0
Shaun White,snowboarding,2019,Q4,0,78500,0,0
Shaun White,snowboarding,2020,Q1,0,78500,0,0
Shaun White,snowboarding,2020,Q2,0,78500,0,0
Shaun White,snowboarding,2020,Q3,0,78500,0,0
Shaun White,snowboarding,2020,Q4,0,78500,0,0
Shaun White,snowboarding,2021,Q1,0,78500,0,0
Shaun White,snowboarding,2021,Q2,0,78500,0,0
Shaun White,snowboarding,2021,Q3,0,78500,0,0
Shaun White,snowboarding,2021,Q4,0,78500,0,0
Shaun White,snowboarding,2022,Q1,0,78500,0,0
Shaun White,snowboarding,2022,Q2,0,78500,0,0
Shaun White,snowboarding,2022,Q3,0,78500,0,0
Shaun White,snowboarding,2022,Q4,0,78500,0,0
Shaun White,snowboarding,2023,Q1,0,78500,0,0
Shaun White,snowboarding,2023,Q2,0,78500,0,0
Shaun White,snowboarding,2023,Q3,0,78500,0,0
Shaun White,snowboarding,2023,Q4,0,78500,0,0
Shaun White,snowboarding,2024,Q1,0,78500,0,0
Shaun White,snowboarding,2024,Q2,0,78500,0,0
Shaun White,snowboarding,2024,Q3,11306138,78500,44,256957.68
Shaun White,snowboarding,2024,Q4,263257,78500,18,14625.39
Skills With Phil,mountain biking,2015,Q1,16374,573000,1,16374.0
Skills With Phil,mountain biking,2015,Q2,964862,573000,3,321620.67
Skills With Phil,mountain biking,2015,Q3,0,573000,0,0
Skills With Phil,mountain biking,2015,Q4,641725,573000,3,213908.33
Skills With Phil,mountain biking,2016,Q1,1220198,573000,7,174314.0
Skills With Phil,mountain biking,2016,Q2,9507080,573000,9,1056342.22
Skills With Phil,mountain biking,2016,Q3,1361986,573000,9,151331.78
Skills With Phil,mountain biking,2016,Q4,2902552,573000,6,483758.67
Skills With Phil,mountain biking,2017,Q1,2937057,573000,15,195803.8
Skills With Phil,mountain biking,2017,Q2,6426036,573000,18,357002.0
Skills With Phil,mountain biking,2017,Q3,4887353,573000,16,305459.56
Skills With Phil,mountain biking,2017,Q4,611934,573000,1,611934.0
Skills With Phil,mountain biking,2018,Q1,1664253,573000,5,332850.6
Skills With Phil,mountain biking,2018,Q2,1533243,573000,4,383310.75
Skills With Phil,mountain biking,2018,Q3,1228283,573000,2,614141.5
Skills With Phil,mountain biking,2018,Q4,1354885,573000,5,270977.0
Skills With Phil,mountain biking,2019,Q1,1827109,573000,5,365421.8
Skills With Phil,mountain biking,2019,Q2,5003462,573000,12,416955.17
Skills With Phil,mountain biking,2019,Q3,6088619,573000,6,1014769.83
Skills With Phil,mountain biking,2019,Q4,4530467,573000,10,453046.7
Skills With Phil,mountain biking,2020,Q1,103709,573000,2,51854.5
Skills With Phil,mountain biking,2020,Q2,1733556,573000,6,288926.0
Skills With Phil,mountain biking,2020,Q3,1550323,573000,6,258387.17
Skills With Phil,mountain biking,2020,Q4,1057202,573000,5,211440.4
Skills With Phil,mountain biking,2021,Q1,60518,573000,1,60518.0
Skills With Phil,mountain biking,2021,Q2,2148112,573000,6,358018.67
Skills With Phil,mountain biking,2021,Q3,4191494,573000,9,465721.56
Skills With Phil,mountain biking,2021,Q4,8330345,573000,13,640795.77
Skills With Phil,mountain biking,2022,Q1,940960,573000,7,134422.86
Skills With Phil,mountain biking,2022,Q2,2037047,573000,10,203704.7
Skills With Phil,mountain biking,2022,Q3,3772799,573000,22,171490.86
