date,quarter,sport,total_comments,active_videos,engagement_intensity,avg_video_age_days,log_engagement_intensity
2018-10-01,2018-Q4,Trail Running,58,1,58.0,25.0,4.07753744390572
2019-01-01,2019-Q1,Trail Running,9,1,9.0,115.0,2.302585092994046
2019-04-01,2019-Q2,Trail Running,0,0,0.0,0.0,0.0
2019-07-01,2019-Q3,Trail Running,330,5,66.0,42.6,4.204692619390966
2019-10-01,2019-Q4,Trail Running,53,5,10.6,134.6,2.451005098112319
2020-01-01,2020-Q1,Trail Running,418,3,139.33,38.3,4.943996791763045
2020-04-01,2020-Q2,Trail Running,280,5,56.0,91.4,4.04305126783455
2020-07-01,2020-Q3,Trail Running,188,4,47.0,103.2,3.871201010907891
2020-10-01,2020-Q4,Trail Running,47,3,15.67,135.0,2.813610696762703
2021-01-01,2021-Q1,Trail Running,522,4,130.5,77.5,4.879006851617819
2021-04-01,2021-Q2,Trail Running,178,6,29.67,82.5,3.4232849781261603
2021-07-01,2021-Q3,Trail Running,482,9,53.56,64.2,3.9993010135352067
2021-10-01,2021-Q4,Trail Running,131,8,16.38,111.8,2.8553201198372458
2022-01-01,2022-Q1,Trail Running,40,3,13.33,105.3,2.6623552418400807
2022-04-01,2022-Q2,Trail Running,101,3,33.67,83.0,3.545874759696932
2022-07-01,2022-Q3,Trail Running,56,3,18.67,116.3,2.979094632400968
2022-10-01,2022-Q4,Trail Running,107,3,35.67,79.0,3.6019589820832345
2023-01-01,2023-Q1,Trail Running,10,2,5.0,142.5,1.791759469228055
2023-04-01,2023-Q2,Trail Running,0,0,0.0,0.0,0.0
2023-07-01,2023-Q3,Trail Running,0,0,0.0,0.0,0.0
2023-10-01,2023-Q4,Trail Running,31,1,31.0,33.0,3.4657359027997265
2024-01-01,2024-Q1,Trail Running,56,2,28.0,74.0,3.367295829986474
2024-04-01,2024-Q2,Trail Running,12,1,12.0,115.0,2.5649493574615367
2024-07-01,2024-Q3,Trail Running,0,0,0.0,0.0,0.0
2024-10-01,2024-Q4,Trail Running,62,2,31.0,36.0,3.4657359027997265
2015-01-01,2015-Q1,Wingfoiling,0,0,0.0,0.0,0.0
2015-04-01,2015-Q2,Wingfoiling,0,0,0.0,0.0,0.0
2015-07-01,2015-Q3,Wingfoiling,0,0,0.0,0.0,0.0
2015-10-01,2015-Q4,Wingfoiling,0,0,0.0,0.0,0.0
2016-01-01,2016-Q1,Wingfoiling,0,0,0.0,0.0,0.0
2016-04-01,2016-Q2,Wingfoiling,0,0,0.0,0.0,0.0
2016-07-01,2016-Q3,Wingfoiling,0,0,0.0,0.0,0.0
2016-10-01,2016-Q4,Wingfoiling,0,0,0.0,0.0,0.0
2017-01-01,2017-Q1,Wingfoiling,0,0,0.0,0.0,0.0
2017-04-01,2017-Q2,Wingfoiling,0,0,0.0,0.0,0.0
2017-07-01,2017-Q3,Wingfoiling,0,0,0.0,0.0,0.0
2017-10-01,2017-Q4,Wingfoiling,0,1,0.0,83.0,0.0
2018-01-01,2018-Q1,Wingfoiling,0,1,0.0,173.0,0.0
2018-04-01,2018-Q2,Wingfoiling,0,0,0.0,0.0,0.0
2018-07-01,2018-Q3,Wingfoiling,0,0,0.0,0.0,0.0
2018-10-01,2018-Q4,Wingfoiling,0,0,0.0,0.0,0.0
2019-01-01,2019-Q1,Wingfoiling,0,0,0.0,0.0,0.0
2019-04-01,2019-Q2,Wingfoiling,0,0,0.0,0.0,0.0
2019-07-01,2019-Q3,Wingfoiling,0,0,0.0,0.0,0.0
2019-10-01,2019-Q4,Wingfoiling,0,0,0.0,0.0,0.0
2020-01-01,2020-Q1,Wingfoiling,0,0,0.0,0.0,0.0
2020-04-01,2020-Q2,Wingfoiling,105,9,7.12,49.7,2.0943301541735866
2020-07-01,2020-Q3,Wingfoiling,106,16,4.04,100.6,1.6174060820832772
2020-10-01,2020-Q4,Wingfoiling,25,9,1.7,118.1,0.9932517730102833
2021-01-01,2021-Q1,Wingfoiling,59,8,4.5,65.9,1.7047480922384253
2021-04-01,2021-Q2,Wingfoiling,50,7,4.36,125.6,1.6789639750827108
2021-07-01,2021-Q3,Wingfoiling,47,6,7.9,67.5,2.186051276738094
2021-10-01,2021-Q4,Wingfoiling,36,9,5.0,102.9,1.791759469228055
2022-01-01,2022-Q1,Wingfoiling,27,8,4.24,88.6,1.6563214983329508
2022-04-01,2022-Q2,Wingfoiling,21,8,3.39,85.2,1.47932922708708
2022-07-01,2022-Q3,Wingfoiling,73,10,13.67,98.2,2.6858045921548905
2022-10-01,2022-Q4,Wingfoiling,20,11,1.65,109.0,0.9745596399981308
2023-01-01,2023-Q1,Wingfoiling,36,9,8.99,106.1,2.301584592660462
2023-04-01,2023-Q2,Wingfoiling,15,9,2.5,95.6,1.252762968495368
2023-07-01,2023-Q3,Wingfoiling,52,11,8.41,85.3,2.2417729535972883
2023-10-01,2023-Q4,Wingfoiling,8,9,1.49,96.1,0.9122827104766162
2024-01-01,2024-Q1,Wingfoiling,8,7,1.61,76.9,0.9593502213346021
2024-04-01,2024-Q2,Wingfoiling,36,7,18.7,110.0,2.9806186357439426
2024-07-01,2024-Q3,Wingfoiling,24,11,5.49,79.8,1.8702625307159986
2024-10-01,2024-Q4,Wingfoiling,2,8,0.11,143.2,0.10436001532424277
