sport,keyword,date,index
Running,running shoes online,2018-06-01,65
Running,running shoes online,2018-07-01,66
Running,running shoes online,2018-08-01,52
Running,running shoes online,2018-09-01,54
Running,running shoes online,2018-10-01,48
Running,running shoes online,2018-11-01,58
Running,running shoes online,2018-12-01,50
Running,running shoes online,2019-01-01,39
Running,running shoes online,2019-02-01,41
Running,running shoes online,2019-03-01,50
Running,running shoes online,2019-04-01,36
Running,running shoes online,2019-05-01,39
Running,running shoes online,2019-06-01,38
Running,running shoes online,2019-07-01,46
Running,running shoes online,2019-08-01,55
Running,running shoes online,2019-09-01,44
Running,running shoes online,2019-10-01,41
Running,running shoes online,2019-11-01,36
Running,running shoes online,2019-12-01,43
Running,running shoes online,2020-01-01,43
Running,running shoes online,2020-02-01,36
Running,running shoes online,2020-03-01,52
Running,running shoes online,2020-04-01,88
Running,running shoes online,2020-05-01,76
Running,running shoes online,2020-06-01,64
Running,running shoes online,2020-07-01,59
Running,running shoes online,2020-08-01,44
Running,running shoes online,2020-09-01,47
Running,running shoes online,2020-10-01,43
Running,running shoes online,2020-11-01,47
Running,running shoes online,2020-12-01,40
Running,running shoes online,2021-01-01,43
Running,running shoes online,2021-02-01,51
Running,running shoes online,2021-03-01,59
Running,running shoes online,2021-04-01,60
Running,running shoes online,2021-05-01,52
Running,running shoes online,2021-06-01,53
Running,running shoes online,2021-07-01,44
Running,running shoes online,2021-08-01,54
Running,running shoes online,2021-09-01,57
Running,running shoes online,2021-10-01,44
Running,running shoes online,2021-11-01,57
Running,running shoes online,2021-12-01,44
Running,running shoes online,2022-01-01,47
Running,running shoes online,2022-02-01,43
Running,running shoes online,2022-03-01,50
Running,running shoes online,2022-04-01,46
Running,running shoes online,2022-05-01,40
Running,running shoes online,2022-06-01,37
Running,running shoes online,2022-07-01,44
Running,running shoes online,2022-08-01,45
Running,running shoes online,2022-09-01,40
Running,running shoes online,2022-10-01,35
Running,running shoes online,2022-11-01,38
Running,running shoes online,2022-12-01,34
Running,running shoes online,2023-01-01,32
Running,running shoes online,2023-02-01,35
Running,running shoes online,2023-03-01,38
Running,running shoes online,2023-04-01,41
Running,running shoes online,2023-05-01,34
Running,running shoes online,2023-06-01,31
Running,running shoes online,2023-07-01,32
Running,running shoes online,2023-08-01,30
Running,running shoes online,2023-09-01,31
Running,running shoes online,2023-10-01,31
Running,running shoes online,2023-11-01,33
Running,running shoes online,2023-12-01,36
Running,running shoes online,2024-01-01,27
Running,running shoes online,2024-02-01,34
Running,running shoes online,2024-03-01,31
Running,running shoes online,2024-04-01,37
Running,running shoes online,2024-05-01,34
Running,running shoes online,2024-06-01,26
Running,running shoes online,2024-07-01,33
Running,running shoes online,2024-08-01,40
Running,running shoes online,2024-09-01,34
Running,running shoes online,2024-10-01,31
Running,running shoes online,2024-11-01,36
Running,running shoes online,2024-12-01,36
Running,best running shoes 2024,2015-01-01,0
Running,best running shoes 2024,2015-02-01,0
Running,best running shoes 2024,2015-03-01,0
Running,best running shoes 2024,2015-04-01,0
Running,best running shoes 2024,2015-05-01,0
Running,best running shoes 2024,2015-06-01,0
Running,best running shoes 2024,2015-07-01,0
Running,best running shoes 2024,2015-08-01,0
Running,best running shoes 2024,2015-09-01,0
Running,best running shoes 2024,2015-10-01,0
Running,best running shoes 2024,2015-11-01,0
Running,best running shoes 2024,2015-12-01,0
Running,best running shoes 2024,2016-01-01,0
Running,best running shoes 2024,2016-02-01,0
Running,best running shoes 2024,2016-03-01,0
Running,best running shoes 2024,2016-04-01,0
Running,best running shoes 2024,2016-05-01,0
Running,best running shoes 2024,2016-06-01,0
Running,best running shoes 2024,2016-07-01,0
Running,best running shoes 2024,2016-08-01,0
Running,best running shoes 2024,2016-09-01,0
Running,best running shoes 2024,2016-10-01,0
Running,best running shoes 2024,2016-11-01,0
Running,best running shoes 2024,2016-12-01,0
Running,best running shoes 2024,2017-01-01,0
Running,best running shoes 2024,2017-02-01,0
Running,best running shoes 2024,2017-03-01,0
Running,best running shoes 2024,2017-04-01,0
Running,best running shoes 2024,2017-05-01,0
Running,best running shoes 2024,2017-06-01,0
Running,best running shoes 2024,2017-07-01,0
Running,best running shoes 2024,2017-08-01,0
Running,best running shoes 2024,2017-09-01,0
Running,best running shoes 2024,2017-10-01,0
Running,best running shoes 2024,2017-11-01,0
Running,best running shoes 2024,2017-12-01,0
Running,best running shoes 2024,2018-01-01,0
Running,best running shoes 2024,2018-02-01,0
Running,best running shoes 2024,2018-03-01,0
Running,best running shoes 2024,2018-04-01,0
Running,best running shoes 2024,2018-05-01,0
Running,best running shoes 2024,2018-06-01,0
Running,best running shoes 2024,2018-07-01,0
Running,best running shoes 2024,2018-08-01,0
Running,best running shoes 2024,2018-09-01,0
Running,best running shoes 2024,2018-10-01,0
Running,best running shoes 2024,2018-11-01,0
Running,best running shoes 2024,2018-12-01,0
Running,best running shoes 2024,2019-01-01,0
Running,best running shoes 2024,2019-02-01,0
Running,best running shoes 2024,2019-03-01,0
Running,best running shoes 2024,2019-04-01,0
Running,best running shoes 2024,2019-05-01,0
Running,best running shoes 2024,2019-06-01,0
Running,best running shoes 2024,2019-07-01,0
Running,best running shoes 2024,2019-08-01,0
Running,best running shoes 2024,2019-09-01,0
Running,best running shoes 2024,2019-10-01,0
Running,best running shoes 2024,2019-11-01,0
Running,best running shoes 2024,2019-12-01,0
Running,best running shoes 2024,2020-01-01,0
Running,best running shoes 2024,2020-02-01,0
Running,best running shoes 2024,2020-03-01,0
Running,best running shoes 2024,2020-04-01,0
Running,best running shoes 2024,2020-05-01,0
Running,best running shoes 2024,2020-06-01,0
Running,best running shoes 2024,2020-07-01,0
Running,best running shoes 2024,2020-08-01,0
Running,best running shoes 2024,2020-09-01,0
Running,best running shoes 2024,2020-10-01,0
Running,best running shoes 2024,2020-11-01,0
Running,best running shoes 2024,2020-12-01,0
Running,best running shoes 2024,2021-01-01,0
Running,best running shoes 2024,2021-02-01,0
Running,best running shoes 2024,2021-03-01,0
Running,best running shoes 2024,2021-04-01,0
Running,best running shoes 2024,2021-05-01,0
Running,best running shoes 2024,2021-06-01,0
Running,best running shoes 2024,2021-07-01,0
Running,best running shoes 2024,2021-08-01,0
Running,best running shoes 2024,2021-09-01,0
Running,best running shoes 2024,2021-10-01,0
Running,best running shoes 2024,2021-11-01,0
Running,best running shoes 2024,2021-12-01,0
Running,best running shoes 2024,2022-01-01,0
Running,best running shoes 2024,2022-02-01,0
Running,best running shoes 2024,2022-03-01,0
Running,best running shoes 2024,2022-04-01,0
Running,best running shoes 2024,2022-05-01,0
Running,best running shoes 2024,2022-06-01,0
Running,best running shoes 2024,2022-07-01,0
Running,best running shoes 2024,2022-08-01,0
Running,best running shoes 2024,2022-09-01,0
Running,best running shoes 2024,2022-10-01,0
Running,best running shoes 2024,2022-11-01,0
Running,best running shoes 2024,2022-12-01,0
Running,best running shoes 2024,2023-01-01,0
Running,best running shoes 2024,2023-02-01,0
Running,best running shoes 2024,2023-03-01,0
Running,best running shoes 2024,2023-04-01,0
Running,best running shoes 2024,2023-05-01,0
Running,best running shoes 2024,2023-06-01,0
Running,best running shoes 2024,2023-07-01,0
Running,best running shoes 2024,2023-08-01,0
Running,best running shoes 2024,2023-09-01,0
Running,best running shoes 2024,2023-10-01,5
Running,best running shoes 2024,2023-11-01,10
Running,best running shoes 2024,2023-12-01,14
Running,best running shoes 2024,2024-01-01,44
Running,best running shoes 2024,2024-02-01,63
Running,best running shoes 2024,2024-03-01,81
Running,best running shoes 2024,2024-04-01,96
Running,best running shoes 2024,2024-05-01,96
Running,best running shoes 2024,2024-06-01,100
Running,best running shoes 2024,2024-07-01,95
Running,best running shoes 2024,2024-08-01,91
Running,best running shoes 2024,2024-09-01,87
Running,best running shoes 2024,2024-10-01,73
Running,best running shoes 2024,2024-11-01,90
Running,best running shoes 2024,2024-12-01,77
Running,running gear store,2015-01-01,6
Running,running gear store,2015-02-01,5
Running,running gear store,2015-03-01,3
Running,running gear store,2015-04-01,5
Running,running gear store,2015-05-01,4
Running,running gear store,2015-06-01,5
Running,running gear store,2015-07-01,5
Running,running gear store,2015-08-01,4
Running,running gear store,2015-09-01,5
Running,running gear store,2015-10-01,5
Running,running gear store,2015-11-01,4
Running,running gear store,2015-12-01,4
Running,running gear store,2016-01-01,5
Running,running gear store,2016-02-01,4
Running,running gear store,2016-03-01,4
Running,running gear store,2016-04-01,5
Running,running gear store,2016-05-01,4
Running,running gear store,2016-06-01,0
Running,running gear store,2016-07-01,6
Running,running gear store,2016-08-01,5
Running,running gear store,2016-09-01,5
Running,running gear store,2016-10-01,4
Running,running gear store,2016-11-01,6
Running,running gear store,2016-12-01,7
Running,running gear store,2017-01-01,5
Running,running gear store,2017-02-01,5
Running,running gear store,2017-03-01,6
Running,running gear store,2017-04-01,7
Running,running gear store,2017-05-01,8
Running,running gear store,2017-06-01,7
Running,running gear store,2017-07-01,6
Running,running gear store,2017-08-01,10
Running,running gear store,2017-09-01,10
Running,running gear store,2017-10-01,11
Running,running gear store,2017-11-01,9
Running,running gear store,2017-12-01,10
Running,running gear store,2018-01-01,13
Running,running gear store,2018-02-01,22
Running,running gear store,2018-03-01,12
Running,running gear store,2018-04-01,11
Running,running gear store,2018-05-01,65
Running,running gear store,2018-06-01,92
Running,running gear store,2018-07-01,100
Running,running gear store,2018-08-01,68
Running,running gear store,2018-09-01,79
Running,running gear store,2018-10-01,91
Running,running gear store,2018-11-01,80
Running,running gear store,2018-12-01,43
Running,running gear store,2019-01-01,4
Running,running gear store,2019-02-01,3
Running,running gear store,2019-03-01,0
Running,running gear store,2019-04-01,4
Running,running gear store,2019-05-01,4
Running,running gear store,2019-06-01,5
Running,running gear store,2019-07-01,4
Running,running gear store,2019-08-01,4
Running,running gear store,2019-09-01,4
Running,running gear store,2019-10-01,4
Running,running gear store,2019-11-01,5
Running,running gear store,2019-12-01,5
Running,running gear store,2020-01-01,3
Running,running gear store,2020-02-01,3
Running,running gear store,2020-03-01,3
Running,running gear store,2020-04-01,3
Running,running gear store,2020-05-01,4
Running,running gear store,2020-06-01,4
Running,running gear store,2020-07-01,5
Running,running gear store,2020-08-01,3
Running,running gear store,2020-09-01,5
Running,running gear store,2020-10-01,4
Running,running gear store,2020-11-01,3
Running,running gear store,2020-12-01,4
Running,running gear store,2021-01-01,3
Running,running gear store,2021-02-01,0
Running,running gear store,2021-03-01,0
Running,running gear store,2021-04-01,2
Running,running gear store,2021-05-01,2
Running,running gear store,2021-06-01,0
Running,running gear store,2021-07-01,3
Running,running gear store,2021-08-01,0
Running,running gear store,2021-09-01,4
Running,running gear store,2021-10-01,0
Running,running gear store,2021-11-01,3
Running,running gear store,2021-12-01,3
Running,running gear store,2022-01-01,3
Running,running gear store,2022-02-01,2
Running,running gear store,2022-03-01,2
Running,running gear store,2022-04-01,4
Running,running gear store,2022-05-01,3
Running,running gear store,2022-06-01,4
Running,running gear store,2022-07-01,3
Running,running gear store,2022-08-01,0
Running,running gear store,2022-09-01,3
Running,running gear store,2022-10-01,3
Running,running gear store,2022-11-01,4
Running,running gear store,2022-12-01,5
Running,running gear store,2023-01-01,3
Running,running gear store,2023-02-01,0
Running,running gear store,2023-03-01,0
Running,running gear store,2023-04-01,0
Running,running gear store,2023-05-01,2
Running,running gear store,2023-06-01,4
Running,running gear store,2023-07-01,3
Running,running gear store,2023-08-01,0
Running,running gear store,2023-09-01,3
Running,running gear store,2023-10-01,3
Running,running gear store,2023-11-01,5
Running,running gear store,2023-12-01,5
Running,running gear store,2024-01-01,3
Running,running gear store,2024-02-01,4
Running,running gear store,2024-03-01,4
Running,running gear store,2024-04-01,3
Running,running gear store,2024-05-01,3
Running,running gear store,2024-06-01,3
Running,running gear store,2024-07-01,5
Running,running gear store,2024-08-01,4
Running,running gear store,2024-09-01,4
Running,running gear store,2024-10-01,2
Running,running gear store,2024-11-01,5
Running,running gear store,2024-12-01,9
Running,buy running watch,2015-01-01,78
Running,buy running watch,2015-02-01,44
Running,buy running watch,2015-03-01,64
Running,buy running watch,2015-04-01,61
Running,buy running watch,2015-05-01,62
Running,buy running watch,2015-06-01,87
Running,buy running watch,2015-07-01,68
Running,buy running watch,2015-08-01,73
Running,buy running watch,2015-09-01,65
Running,buy running watch,2015-10-01,57
Running,buy running watch,2015-11-01,76
Running,buy running watch,2015-12-01,85
Running,buy running watch,2016-01-01,40
Running,buy running watch,2016-02-01,53
Running,buy running watch,2016-03-01,39
Running,buy running watch,2016-04-01,43
Running,buy running watch,2016-05-01,39
Running,buy running watch,2016-06-01,71
Running,buy running watch,2016-07-01,50
Running,buy running watch,2016-08-01,47
Running,buy running watch,2016-09-01,56
Running,buy running watch,2016-10-01,51
Running,buy running watch,2016-11-01,69
Running,buy running watch,2016-12-01,69
Running,buy running watch,2017-01-01,40
Running,buy running watch,2017-02-01,47
Running,buy running watch,2017-03-01,49
Running,buy running watch,2017-04-01,45
Running,buy running watch,2017-05-01,57
Running,buy running watch,2017-06-01,46
Running,buy running watch,2017-07-01,56
Running,buy running watch,2017-08-01,54
Running,buy running watch,2017-09-01,53
Running,buy running watch,2017-10-01,46
Running,buy running watch,2017-11-01,75
Running,buy running watch,2017-12-01,100
Running,buy running watch,2018-01-01,29
Running,buy running watch,2018-02-01,37
Running,buy running watch,2018-03-01,45
Running,buy running watch,2018-04-01,59
Running,buy running watch,2018-05-01,68
Running,buy running watch,2018-06-01,56
Running,buy running watch,2018-07-01,51
Running,buy running watch,2018-08-01,54
Running,buy running watch,2018-09-01,46
Running,buy running watch,2018-10-01,33
Running,buy running watch,2018-11-01,68
Running,buy running watch,2018-12-01,74
Running,buy running watch,2019-01-01,42
Running,buy running watch,2019-02-01,27
Running,buy running watch,2019-03-01,40
Running,buy running watch,2019-04-01,43
Running,buy running watch,2019-05-01,37
Running,buy running watch,2019-06-01,50
Running,buy running watch,2019-07-01,49
Running,buy running watch,2019-08-01,25
Running,buy running watch,2019-09-01,43
Running,buy running watch,2019-10-01,30
Running,buy running watch,2019-11-01,54
Running,buy running watch,2019-12-01,68
Running,buy running watch,2020-01-01,41
Running,buy running watch,2020-02-01,46
Running,buy running watch,2020-03-01,32
Running,buy running watch,2020-04-01,52
Running,buy running watch,2020-05-01,61
Running,buy running watch,2020-06-01,80
Running,buy running watch,2020-07-01,43
Running,buy running watch,2020-08-01,42
Running,buy running watch,2020-09-01,41
Running,buy running watch,2020-10-01,40
Running,buy running watch,2020-11-01,58
Running,buy running watch,2020-12-01,53
Running,buy running watch,2021-01-01,32
Running,buy running watch,2021-02-01,40
Running,buy running watch,2021-03-01,30
Running,buy running watch,2021-04-01,49
Running,buy running watch,2021-05-01,32
Running,buy running watch,2021-06-01,39
Running,buy running watch,2021-07-01,37
Running,buy running watch,2021-08-01,32
Running,buy running watch,2021-09-01,44
Running,buy running watch,2021-10-01,46
Running,buy running watch,2021-11-01,44
Running,buy running watch,2021-12-01,49
Running,buy running watch,2022-01-01,27
Running,buy running watch,2022-02-01,59
Running,buy running watch,2022-03-01,35
Running,buy running watch,2022-04-01,42
Running,buy running watch,2022-05-01,42
Running,buy running watch,2022-06-01,50
Running,buy running watch,2022-07-01,44
Running,buy running watch,2022-08-01,43
Running,buy running watch,2022-09-01,56
Running,buy running watch,2022-10-01,59
Running,buy running watch,2022-11-01,72
Running,buy running watch,2022-12-01,40
Running,buy running watch,2023-01-01,39
Running,buy running watch,2023-02-01,33
Running,buy running watch,2023-03-01,55
Running,buy running watch,2023-04-01,48
Running,buy running watch,2023-05-01,42
Running,buy running watch,2023-06-01,56
Running,buy running watch,2023-07-01,49
Running,buy running watch,2023-08-01,50
Running,buy running watch,2023-09-01,51
Running,buy running watch,2023-10-01,56
Running,buy running watch,2023-11-01,62
Running,buy running watch,2023-12-01,59
Running,buy running watch,2024-01-01,52
Running,buy running watch,2024-02-01,60
Running,buy running watch,2024-03-01,65
Running,buy running watch,2024-04-01,35
Running,buy running watch,2024-05-01,73
Running,buy running watch,2024-06-01,58
Running,buy running watch,2024-07-01,46
Running,buy running watch,2024-08-01,43
Running,buy running watch,2024-09-01,57
Running,buy running watch,2024-10-01,65
Running,buy running watch,2024-11-01,60
Running,buy running watch,2024-12-01,84
Running,garmin running watch,2015-01-01,50
Running,garmin running watch,2015-02-01,39
Running,garmin running watch,2015-03-01,56
Running,garmin running watch,2015-04-01,54
Running,garmin running watch,2015-05-01,72
Running,garmin running watch,2015-06-01,78
Running,garmin running watch,2015-07-01,72
Running,garmin running watch,2015-08-01,71
Running,garmin running watch,2015-09-01,65
Running,garmin running watch,2015-10-01,52
Running,garmin running watch,2015-11-01,91
Running,garmin running watch,2015-12-01,100
Running,garmin running watch,2016-01-01,53
Running,garmin running watch,2016-02-01,45
Running,garmin running watch,2016-03-01,54
Running,garmin running watch,2016-04-01,55
Running,garmin running watch,2016-05-01,69
Running,garmin running watch,2016-06-01,66
Running,garmin running watch,2016-07-01,60
Running,garmin running watch,2016-08-01,66
Running,garmin running watch,2016-09-01,60
Running,garmin running watch,2016-10-01,55
Running,garmin running watch,2016-11-01,85
Running,garmin running watch,2016-12-01,70
Running,garmin running watch,2017-01-01,49
Running,garmin running watch,2017-02-01,45
Running,garmin running watch,2017-03-01,48
Running,garmin running watch,2017-04-01,54
Running,garmin running watch,2017-05-01,55
Running,garmin running watch,2017-06-01,63
Running,garmin running watch,2017-07-01,68
Running,garmin running watch,2017-08-01,59
Running,garmin running watch,2017-09-01,47
Running,garmin running watch,2017-10-01,49
Running,garmin running watch,2017-11-01,87
Running,garmin running watch,2017-12-01,73
Running,garmin running watch,2018-01-01,45
Running,garmin running watch,2018-02-01,42
Running,garmin running watch,2018-03-01,50
Running,garmin running watch,2018-04-01,59
Running,garmin running watch,2018-05-01,59
Running,garmin running watch,2018-06-01,63
Running,garmin running watch,2018-07-01,68
Running,garmin running watch,2018-08-01,61
Running,garmin running watch,2018-09-01,54
Running,garmin running watch,2018-10-01,50
Running,garmin running watch,2018-11-01,77
Running,garmin running watch,2018-12-01,77
Running,garmin running watch,2019-01-01,47
Running,garmin running watch,2019-02-01,41
Running,garmin running watch,2019-03-01,47
Running,garmin running watch,2019-04-01,52
Running,garmin running watch,2019-05-01,55
Running,garmin running watch,2019-06-01,57
Running,garmin running watch,2019-07-01,63
Running,garmin running watch,2019-08-01,62
Running,garmin running watch,2019-09-01,62
Running,garmin running watch,2019-10-01,47
Running,garmin running watch,2019-11-01,73
Running,garmin running watch,2019-12-01,72
Running,garmin running watch,2020-01-01,51
Running,garmin running watch,2020-02-01,44
Running,garmin running watch,2020-03-01,49
Running,garmin running watch,2020-04-01,70
Running,garmin running watch,2020-05-01,81
Running,garmin running watch,2020-06-01,78
Running,garmin running watch,2020-07-01,66
Running,garmin running watch,2020-08-01,56
Running,garmin running watch,2020-09-01,53
Running,garmin running watch,2020-10-01,54
Running,garmin running watch,2020-11-01,62
Running,garmin running watch,2020-12-01,59
Running,garmin running watch,2021-01-01,39
Running,garmin running watch,2021-02-01,32
Running,garmin running watch,2021-03-01,34
Running,garmin running watch,2021-04-01,43
Running,garmin running watch,2021-05-01,47
Running,garmin running watch,2021-06-01,51
Running,garmin running watch,2021-07-01,46
Running,garmin running watch,2021-08-01,48
Running,garmin running watch,2021-09-01,43
Running,garmin running watch,2021-10-01,40
Running,garmin running watch,2021-11-01,57
Running,garmin running watch,2021-12-01,48
Running,garmin running watch,2022-01-01,42
Running,garmin running watch,2022-02-01,40
Running,garmin running watch,2022-03-01,44
Running,garmin running watch,2022-04-01,48
Running,garmin running watch,2022-05-01,53
Running,garmin running watch,2022-06-01,59
Running,garmin running watch,2022-07-01,64
Running,garmin running watch,2022-08-01,63
Running,garmin running watch,2022-09-01,64
Running,garmin running watch,2022-10-01,58
Running,garmin running watch,2022-11-01,73
Running,garmin running watch,2022-12-01,56
Running,garmin running watch,2023-01-01,51
Running,garmin running watch,2023-02-01,43
Running,garmin running watch,2023-03-01,48
Running,garmin running watch,2023-04-01,58
Running,garmin running watch,2023-05-01,60
Running,garmin running watch,2023-06-01,66
Running,garmin running watch,2023-07-01,74
Running,garmin running watch,2023-08-01,69
Running,garmin running watch,2023-09-01,68
Running,garmin running watch,2023-10-01,62
Running,garmin running watch,2023-11-01,87
Running,garmin running watch,2023-12-01,71
Running,garmin running watch,2024-01-01,59
Running,garmin running watch,2024-02-01,62
Running,garmin running watch,2024-03-01,65
Running,garmin running watch,2024-04-01,77
Running,garmin running watch,2024-05-01,84
Running,garmin running watch,2024-06-01,89
Running,garmin running watch,2024-07-01,90
Running,garmin running watch,2024-08-01,91
Running,garmin running watch,2024-09-01,81
Running,garmin running watch,2024-10-01,76
Running,garmin running watch,2024-11-01,98
Running,garmin running watch,2024-12-01,97
Running,nike running shoes,2015-01-01,52
Running,nike running shoes,2015-02-01,57
Running,nike running shoes,2015-03-01,70
Running,nike running shoes,2015-04-01,62
Running,nike running shoes,2015-05-01,56
Running,nike running shoes,2015-06-01,54
Running,nike running shoes,2015-07-01,63
Running,nike running shoes,2015-08-01,78
Running,nike running shoes,2015-09-01,52
Running,nike running shoes,2015-10-01,45
Running,nike running shoes,2015-11-01,53
Running,nike running shoes,2015-12-01,66
Running,nike running shoes,2016-01-01,73
Running,nike running shoes,2016-02-01,82
Running,nike running shoes,2016-03-01,86
Running,nike running shoes,2016-04-01,77
Running,nike running shoes,2016-05-01,77
Running,nike running shoes,2016-06-01,71
Running,nike running shoes,2016-07-01,78
Running,nike running shoes,2016-08-01,90
Running,nike running shoes,2016-09-01,70
Running,nike running shoes,2016-10-01,68
Running,nike running shoes,2016-11-01,83
Running,nike running shoes,2016-12-01,84
Running,nike running shoes,2017-01-01,71
Running,nike running shoes,2017-02-01,79
Running,nike running shoes,2017-03-01,79
Running,nike running shoes,2017-04-01,75
